PPN	Signatur	Notizen	Auflagen
1103061240	VH 5100 K81 -1(13)		13., völlig neu bearb. Aufl.
1101346949	VB 4150 H768 -1(5)		5. Aufl.
277043581	VE 5010 A874		1. Aufl.
219239894	 		1. Aufl
186443501	 	gelöscht	
132723867	 		1. Aufl.
131461893	VE 5010 A874 K9		
127283498	VK 5010 W959 (6)		6., bearb. und erw. Aufl.
127283080	 		
124115721	VE 5300 A874 C5		
1610588509	 		2. Aufl.
1606587137	 		
1605158909	VN 5900 B819 (8)		8., aktualisierte und erw. Aufl.
1108585760	VB 4092 K63 -4		
1100897828	 		
1100063978	WB 1410 L697 -3		
1098155904	VC 1000 A617 -1(4)		4., neubearb. u. rev. Aufl.
276536096	VE 9300 W516		
131142003	VB 4150 D486	GA	
120897334	 		3. Aufl.
119354829	 		1. Aufl.
025597132	VB 1100 W476		
